receiver_address,usdc_received
0x5b53c01BBCf57f31aC66195E82f6EBb42a45e276,180.0
0x250DEDbf47F4eAF8c3509C24b3d1f18cd895a089,180.0
0x2E40e55Ae8006B9d6C13761D08647464Ce5516a5,180.0
0x1c46C5DB78E7bAee72AD694055597Cd025523440,180.0
0x3AfEFFB411BeBB8852f542123aB2C6ce5CC95968,179.0
0xf537cA8c03B245390136A7C3fBB3704e22BE8d75,179.0
0x6aEB8538AA9131252CE223e4cb5808E47d0c181D,177.0
0x1A022ef3ED5febA4D77E16CcbF79983EC9B76d60,176.0
0xD8253503513Ec36Ce2f1c62e860Ce1CC0A0651a8,175.0
0x3ECFF843766E4870cC6bfE3c89B80a21677a7890,175.0
0x2a80C2F57e53bE63848B7788A551fE6853153fEa,175.0
0xc8E66c246Cf0388c0704f0F47999EF07544EA906,175.0
0x7C4d72661bA5be62098C49D88343Ec927bb7C1C6,175.0
0xa24a67F7eF9B89F9a0758B7333B638c0aeB4bdeC,175.0
0x4FefaEbf5bd8000d2514f355faEDbA3aBaCcE6d4,175.0
0x5B0364CD085256BAfC3d98ca21b6c0c07417af8d,175.0
0x6292347659fEA4ab40378B0Be7C8ab5884336950,175.0
0xfc4c0357aA313A93869c2Eaa20bfEb2971058625,175.0
0x2ec46e15D9053d650954863818cda48B465Bd851,175.0
0x3fB43F0B2198651f4e2032e8b1101Ce90920D0eA,174.0
0xa962b6325eEdF3F83Af0F25eFA7AB53fB1f708D6,174.0
0x15139afa1913005b8E1B1dd48c5F7F7Bb4eC0Ad9,174.0
0x4f547F607A3C719E5cBf31AdA0471E8caf36F7C3,172.0
0xF353A675439E2b1dD2a6c3D6512A156B011d63ff,172.0
0x67B51f0189781f4b5F7f9263e277a486AEd6DA90,172.0
0x85cE3E0F2Bf7246AA3582e1F695acc328F11Cfe2,172.0
0x9227A3cba1d5E729fe0E5fa0D38Bf1d9a2f55Ef5,172.0
0x6633bEEEA523fd59c54cEA275FC321c69D96Fe91,172.0
0xF01eDD5aD9D092c612B1dbc453E9b6f7Bc982206,171.0
0x0bb31Efb4dd3107bC3C35e9a4a85d4a86157Fe49,170.0
0xb8435086600d427C4B585A03c2d10cAbd5fF8730,170.0
0x103725aF117E471a4e4FaC641aaeB4F0BC50Bc8e,170.0
0xBfaF9cDA52f8f9B3d3B2eb2EF7cC931ba078d688,170.0
0x79FBadf8Fcf8e3673dB0EE8795f64D47F07a32a4,170.0
0x038ce6e788Cc6d1AED3cd0f1Fe4BB5c8E25da7F5,170.0
0x5125C1A60a1254C4a3B14D92Fef943180EE3BCAa,167.0
0x06fC43d1dd20f3dE02bF94f23419048B3954aA51,166.0
0xEb5cfb1ed7Fe8b2e807671c744Dc2537491a2960,166.0
0x0217384f14Cf17BFCC5fB20a2A40eC4533001D54,165.0
0x6Cb1D3FD5C1c518b30253b30299a82588cCe77f0,165.0
0xd80139394cE6b1fF0353080774eD85E5ceb78bD8,165.0
0x3d6Bf26f0b26dE74cFAB228D4dcAA7aC7F68f0C6,165.0
0x849F8E77c992a2B06DbCaF252B582C2aB739d2F5,165.0
0x3382b5D2b2eDE04AF0E3aA885A3e9abbab6AC143,165.0
0xF20B3C0A15E6EAfdf67975e384729A3a1ab579e6,165.0
0x7F0102c5c30dD058C4F82362925f9D2acac7091D,165.0
0x718F98f8bf7209Bb3727Ad609333794511735DcC,165.0
0xE8a443b32518bf39571f2e0Da993dEA9821700C1,165.0
0x170c5a413136F094421fad8Dd20285b5e05Fff5e,165.0
0xAd1b27c097D9544F99e22cD04562F17cf1156730,165.0
0xFE5cc7cd8B9554f31769C605cCD29A2975FaC5C5,164.0
0x876B2f70Fb651960DF89118B9A9e7120e4758c7F,164.0
0x43385506Bdc8b472277F5D25c4839f3edbd43CdC,162.0
0x1C13f2B21a5D3a71D5dFF93fF9E254369e372AA4,162.0
0xe8313B545C4BB016015481C96d12F87e753bF264,162.0
0xe9BA958424cD0385D5d4a3Fd7fB05B1252a8e231,161.0
0x35e54C6771E23F2D2C8fb88b62dDe0cd0286FCD3,160.0
0xc2cC70d17e97960025Fc9fE5d41baDB1EBf29b68,160.0
0x61d557D5E59D3FFb6406A88205f29D9F39f361DA,160.0
0xe7Ce5639d937c7663cFBfeF66B435afCaFa20B57,160.0
0xca7793b8Bd4e597f415815EfE0588F872a36D627,160.0
0x41734ca89e868fD2174811F438f5f96d19F98c1f,157.0
0x1F0345A0236f3387da596c6D6CB96Aa5B3962178,157.0
0x2A96315291638b6F1bF695Fb3231de82DDa3E6da,157.0
0xE7fbc7aB17Bc88aE6DD082Aab78f566b35B1Df80,155.0
0xe2C24F6AEFa94BbC012b298532e2d6b6EBe1D894,155.0
0x044dd8B2e1b54fE9D273c77F952fAe398185D41B,155.0
0x3B35A4fBbe05bD220826699f1b50D895C293f8B7,155.0
0x33Dd12e8A9B8369bF1927A902eD4885364620c5e,155.0
0x1b60e9E7dd1Eae8b6671E7D7169C7bDd28714897,155.0
0xf4418E4501f0e545010ED4Ee5A87173F6415a35A,155.0
0xBe4c366624B0f6AdF7B5E4f1146Eb571123C481b,155.0
0x65f0F9D335a9093002ab43E27f858A2808f784de,155.0
0x22cea4223aEaa8e1E22cd089c66f9047b7492DC3,154.0
0x3733dbC8ac2779e3A5bfEFa6566F95CBE0b6cbc4,154.0
0x218fd05a47F68e2929B727EF8eE7e03E32C17Ce5,154.0
0x351e17adf6accCA5a95Da6c6D5BCC3a374312155,154.0
0xC703E2d885C82066b493c08605212961d333A284,153.0
0x42b14A22811f8f8E1132Cf00a7337daebfbfE2c9,152.0
0x23a4BBbb7c31655903FDFc8c804F7A8165c4D469,152.0
0xbaBE7B891FEFF637a98B9680acAb0F6320E9B418,151.0
0x0A83c9cA2DFEa9bD2fCbdCd094CBFFc70ee33520,151.0
0x52fE3d97b4EF26acF4C6d2F68bb37D6Dbb93206b,150.0
0x33c274c69EB06B22e983DDC27D046Eba2f6F328b,150.0
0x41CEa5818C863B30dDB995fAe847255A93229e9C,150.0
0x921d49ad77C58b91403c2a2c34cCD01372E21Ede,150.0
0xB351FA65e87E18Bd23fE0d8151f9D4D1c13AE0Cf,150.0
0xe949eFDBD7111fC5d216385699E07E9984460574,150.0
0x3d9678Bb2D18dE3eFD619cFB4c3E0213ad8749fc,150.0
0xa94132EE6A34c47F3facE7A998DF67Cc55e6aE47,148.0
0xC32e02463675Ca68E9EA664B67d31452FE74175d,147.0
0x171B8571D011AfEB24Ffc3b2272EcE65a539AC0C,147.0
